1,3.0,3.0,3,3,3,3,1.0
2,1.5,3.0,3,3,0,3,1.0
3,3.0,3.0,6,3,6,3,0.985074875
4,3.5,3.0,6,3,5,3,0.9322301194154049
5,2.8,3.0,6,3,0,3,0.9000874278732445
6,2.833,3.0,6,3,3,3,0.8690529955452602
7,2.286,3.0,6,3,-1,3,0.851801859600347
8,2.0,3.125,6,4,0,4,0.8183201210226743
9,2.333,3.111,6,4,5,3,0.7744209942832988
10,2.1,3.1,6,4,0,3,0.7590483508202912
11,1.818,3.091,6,4,-1,3,0.7402609576967045
12,1.583,3.083,6,4,-1,3,0.7111635524897149
13,1.615,3.154,6,4,2,4,0.6696478204705644
14,1.429,3.143,6,4,-1,3,0.6433260027715241
15,1.333,3.133,6,4,0,3,0.6274028820538087
16,1.188,3.125,6,4,-1,3,0.6149486215357263
17,1.235,3.118,6,4,2,3,0.5937455908197752
18,1.111,3.111,6,4,-1,3,0.5790496471185967
19,1.211,3.105,6,4,3,3,0.5562889678716474
20,1.55,3.1,8,4,8,3,0.510849320360386
21,1.476,3.095,8,4,0,3,0.4907693883854626
22,1.545,3.091,8,4,3,3,0.47147873742168567
23,1.609,3.087,8,4,3,3,0.4484282034609769
24,2.083,3.125,13,4,13,4,0.40769130904675194
25,2.0,3.12,13,4,0,3,0.39561243860243744
26,2.154,3.154,13,4,6,4,0.37627099809304654
27,2.074,3.148,13,4,0,3,0.36512303261753626
28,2.5,3.143,14,4,14,3,0.3302941218954743
29,2.517,3.138,14,4,3,3,0.3173112652388396
30,2.467,3.133,14,4,1,3,0.3033145315372582
31,2.742,3.161,14,4,11,4,0.28134514724562876
32,2.656,3.156,14,4,0,3,0.2689348941735696
33,2.576,3.152,14,4,0,3,0.26227842021373715
34,3.059,3.176,19,4,19,4,0.23371867538818816
35,2.914,3.171,19,4,-2,3,0.2290792429684691
36,2.778,3.167,19,4,-2,3,0.22566020663225933
37,2.757,3.162,19,4,2,3,0.21355457002808648
38,2.816,3.158,19,4,5,3,0.2010878536592394
39,2.744,3.154,19,4,0,3,0.19318370215794672
40,2.725,3.15,19,4,2,3,0.18746015382974018
41,3.049,3.171,19,4,16,4,0.1678868750508869
42,3.095,3.167,19,4,5,3,0.15967890763313974
43,3.442,3.163,19,4,18,3,0.138769433003975
44,3.341,3.159,19,4,-1,3,0.13601479046086049
45,3.267,3.156,19,4,0,3,0.12743425563174798
46,3.196,3.152,19,4,0,3,0.12365869841532712
47,3.106,3.149,19,4,-1,3,0.11999500148501063
48,3.479,3.188,21,5,21,5,0.10533270926593409
49,3.673,3.204,21,5,13,4,0.09199970504166631
50,3.66,3.2,21,5,3,3,0.08706434220766679
51,3.686,3.196,21,5,5,3,0.07995261925574046
52,3.865,3.212,21,5,13,4,0.07196434741762824
53,3.792,3.226,21,5,0,4,0.06983222438783
54,3.944,3.222,21,5,12,3,0.06285510723190912
55,3.891,3.218,21,5,1,3,0.06008254194952879
56,4.018,3.214,21,5,11,3,0.05517478773284426
57,4.246,3.228,21,5,17,4,0.04916675299948831
58,4.621,3.259,26,5,26,5,0.04043632488927963
59,4.627,3.254,26,5,5,3,0.037133343065552986
60,5.133,3.317,35,7,35,7,0.030083851847510768
61,5.164,3.311,35,7,7,3,0.0280450728002803
62,5.065,3.306,35,7,-1,3,0.027214167668287145
63,4.984,3.302,35,7,0,3,0.026407880170317945
64,5.406,3.328,35,7,32,5,0.021610099696926857
65,5.692,3.338,35,7,24,4,0.018042124582040707
